Kanji,Kana,Nghĩa,Loại từ
私,わたし,tôi,danh từ
あなた,あなた,bạn,danh từ
彼,かれ,anh ấy,danh từ
彼女,かのじょ,cô ấy,danh từ
私たち,わたしたち,chúng tôi,danh từ
皆,みな,mọi người,danh từ
友達,ともだち,bạn bè,danh từ
先生,せんせい,giáo viên,danh từ
学生,がくせい,"học sinh, sinh viên",danh từ
家族,かぞく,gia đình,danh từ
父,ちち,cha (của mình),danh từ
母,はは,mẹ (của mình),danh từ
お父さん,おとうさん,cha (người khác),danh từ
お母さん,おかあさん,mẹ (người khác),danh từ
兄,あに,anh trai (của mình),danh từ
姉,あね,chị gái (của mình),danh từ
弟,おとうと,em trai,danh từ
妹,いもうと,em gái,danh từ
子供,こども,"trẻ em, con cái",danh từ
友人,ゆうじん,bạn bè (trang trọng),danh từ
奥さん,おくさん,vợ (người khác),danh từ
夫,おっと,chồng (của mình),danh từ
妻,つま,vợ (của mình),danh từ
会社員,かいしゃいん,nhân viên công ty,danh từ
医者,いしゃ,bác sĩ,danh từ
看護師,かんごし,y tá,danh từ
学生,がくせい,học sinh,danh từ
高校生,こうこうせい,học sinh cấp 3,danh từ
中学生,ちゅうがくせい,học sinh cấp 2,danh từ
先生,せんせい,giáo viên,danh từ
友,とも,bạn,danh từ
親,おや,cha mẹ,danh từ
兄弟,きょうだい,anh em,danh từ
姉妹,しまい,chị em,danh từ
家,いえ,nhà,danh từ
家庭,かてい,gia đình (nơi sinh sống),danh từ
夫婦,ふうふ,vợ chồng,danh từ
恋人,こいびと,người yêu,danh từ
彼氏,かれし,bạn trai,danh từ
彼女,かのじょ,bạn gái,danh từ
上司,じょうし,cấp trên,danh từ
部下,ぶか,cấp dưới,danh từ
先生方,せんせいがた,các thầy cô,danh từ
皆さん,みなさん,các bạn,danh từ
誰,だれ,ai,đại từ
人,ひと,người,danh từ
方,かた,vị (lịch sự của 人),danh từ
友人関係,ゆうじんかんけい,quan hệ bạn bè,danh từ
親友,しんゆう,bạn thân,danh từ
知り合い,しりあい,người quen,danh từ
初めて,はじめて,lần đầu tiên,trạng từ
名前,なまえ,tên,danh từ
苗字,みょうじ,họ,danh từ
年齢,ねんれい,tuổi tác,danh từ
男,おとこ,nam giới,danh từ
女,おんな,nữ giới,danh từ
男の子,おとこのこ,bé trai,danh từ
女の子,おんなのこ,bé gái,danh từ
大人,おとな,người lớn,danh từ
子供,こども,trẻ em,danh từ
赤ちゃん,あかちゃん,em bé,danh từ
友人達,ゆうじんたち,những người bạn,danh từ
同僚,どうりょう,đồng nghiệp,danh từ
隣,となり,bên cạnh,danh từ
隣人,りんじん,hàng xóm,danh từ
外国人,がいこくじん,người nước ngoài,danh từ
日本人,にほんじん,người Nhật,danh từ
友好,ゆうこう,tình bạn,danh từ
紹介,しょうかい,giới thiệu,danh từ
自己紹介,じこしょうかい,giới thiệu bản thân,danh từ
挨拶,あいさつ,chào hỏi,danh từ
話す,はなす,nói chuyện,động từ
聞く,きく,nghe,động từ
見る,みる,nhìn,động từ
会う,あう,gặp gỡ,động từ
笑う,わらう,cười,động từ
泣く,なく,khóc,động từ
怒る,おこる,tức giận,động từ
助ける,たすける,giúp đỡ,động từ
待つ,まつ,chờ đợi,động từ
呼ぶ,よぶ,gọi,động từ
立つ,たつ,đứng,động từ
座る,すわる,ngồi,động từ
歩く,あるく,đi bộ,động từ
走る,はしる,chạy,động từ
働く,はたらく,làm việc,động từ
休む,やすむ,nghỉ ngơi,động từ
話,はなし,câu chuyện,danh từ
手,て,tay,danh từ
顔,かお,khuôn mặt,danh từ
目,め,mắt,danh từ
耳,みみ,tai,danh từ
口,くち,miệng,danh từ
鼻,はな,mũi,danh từ
髪,かみ,tóc,danh từ
体,からだ,cơ thể,danh từ
心,こころ,"trái tim, tấm lòng",danh từ
愛,あい,tình yêu,danh từ
友情,ゆうじょう,tình bạn,danh từ
朝,あさ,buổi sáng,danh từ
昼,ひる,buổi trưa,danh từ
夜,よる,buổi tối,danh từ
今,いま,bây giờ,danh từ
昨日,きのう,hôm qua,danh từ
今日,きょう,hôm nay,danh từ
